Analysis,,
Filename,C:\Documents and Settings\Student\Desktop\Analytical Lab 2019\Analysis1.anl,
Element,"Cr, ",
Date,Thu Nov 21 15:32:17 2019,
Sample Key,Mean Abs.,%RSD
Sample Blank,0.0005,HIGH
check10,0.1086,3.87
check10,0.1161,4.45
check10,0.112,1
1,0.0004,HIGH
2,0.0105,7.49
3,0.0226,0.14
4,0.0584,2.64
5,0.1149,3.62
6,0.0086,7.27
7,-0.0016,6.84
8,0.0019,HIGH
9,-0.0019,11.08
10,-0.0006,HIGH
11,-0.0017,5.71
12,0.0017,HIGH
13,0.0153,3.18
14,0.0033,12.15
15,0.016,2.32
16,0.0039,10.39
17,0.0206,3.02
18,0.0029,4.69
19,0.0209,3.43
20,-0.002,11.59
21,0.0005,19.53
22,0.0072,4.2
23,0.0143,3.94
24,0.0188,3.5
25,-0.0024,10.59
26,0.0089,8.18
27,0.0202,1.79
28,-0.0018,10.83
29,0.0096,4.23
30,0.0222,2.93
31,0.0643,3.57
32,0.1266,2.26
38,0.0111,6.4
Sample Blank,-0.0025,17.26
39,0.0172,2.01
40,0.0049,4.45
41,0.0058,1.64
42,-0.0005,HIGH
43,-0.0007,HIGH
44,0.0247,2.39
45,0.0064,2.38
46,0.0102,4.06
47,0.0252,1.36
48,0.0132,4.62
49,-0.0012,4.12
50,-0.0014,HIGH
51,0.0027,2.04
52,0.006,4.14
53,0.0249,4.56
54,0.0063,3.31
55,-0.001,HIGH
56,0.0068,5.36
57,0.023,3.42
58,0.0079,2.8
59,0.0246,1.06
60,-0.0003,HIGH
61,0.0123,3.82
62,0.0267,2.5
63,0.0688,2.43
64,0.1422,1.72
Sample Blank,-0.0012,HIGH
