Sample,,,,,,,,,52  Cr  [ He ] ,,53  Cr  [ He ] ,,75  As  [ He ] ,,111  Cd  [ He ] ,,114  Cd  [ He ] ,,208  Pb  [ He ] ,,45  Sc ( ISTD )  [ He ] ,,72  Ge ( ISTD )  [ He ] ,,209  Bi ( ISTD )  [ He ] ,
,Rjct,Data File,Sample Key,Acq. Date-Time,Type,Level,Vial Number,Total Dil.,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD
,FALSE,001BLKV.d,0,11/22/19 18:20,BlkVrfy,,1101,1,1810.176667,3.226864517,217.89,5.286989787,465.3433333,5.885898727,0,N/A,6.666666667,27.87027987,683.3833333,11.25138787,78342.87,2.221467525,73923.95,2.060879454,2212422.433,2.488574471
,FALSE,002BLKV.d,0,11/22/19 18:24,BlkVrfy,,1102,1,1685.706667,3.680489116,187.5566667,13.0782655,332.8933333,3.750263018,0,N/A,6.553333333,20.58399573,315.5733333,6.189617908,79527.53667,2.159956266,73332.80667,0.967383681,2189749.327,3.175652489
,FALSE,003BLKV.d,0,11/22/19 18:28,BlkVrfy,,1101,1,1761.28,4.31797562,210.5566667,7.352081735,352.1133333,3.419094533,2.223333333,173.2050808,6.113333333,8.334933668,602.2666667,16.68231701,78913.50667,1.09138661,73083.65,0.580732914,2221601.703,1.111471685
,FALSE,004CALB.d,0,11/22/19 18:33,CalBlk,1,1102,1,1724.6,5.448670232,194.0033333,9.093396236,397.23,5.297126379,3.333333333,100.0500375,5.776666667,29.67481381,334.4633333,14.92756856,76616.16333,1.265028672,72713.74,1.087038914,2191023.507,0.444567587
,FALSE,005CALB.d,65,11/22/19 18:37,CalBlk,1,1101,1,1360.123333,40.6955997,144.7766667,40.54332265,398.23,17.67363546,2.223333333,173.2050808,6.223333333,43.23169129,598.9333333,8.427984982,69934.49333,27.57969508,80651.82,10.10572324,1718072.89,49.86050228
,FALSE,006CALS.d,66,11/22/19 18:40,CalStd,2,2101,1,8276.696667,3.899333739,965.3633333,2.590283178,1197.266667,1.656124423,2121.343333,5.27420762,5016.853333,1.448322925,2739.26,3.740424483,77447.34,4.607898654,73107.66,4.428566821,2176419.74,3.586102901
,FALSE,007CALS.d,67,11/22/19 18:44,CalStd,3,2102,1,14986.78,0.540580796,1795.54,0.682976681,1977.783333,1.373983511,4109.57,0.619676275,10353.99667,0.336309715,5115.52,3.337076014,77532.22333,0.46791826,73499.19667,0.364695033,2160807.573,0.640574425
,FALSE,008CALS.d,68,11/22/19 18:48,CalStd,4,2103,1,27333.75,1.441860364,3397.22,1.213436325,3445.233333,1.616617846,8275.716667,2.982682379,20266.14,0.776103863,9227.503333,3.25374029,78222.86667,2.63126004,73419.68667,0.815280993,2206867.17,2.88082309
,FALSE,009CALS.d,69,11/22/19 18:52,CalStd,5,2104,1,66167.33,0.933237127,8099.483333,1.390780833,8293.94,2.094664322,20114.70667,1.38814955,50782.44667,0.270164497,22911.83333,2.650687168,77469.49333,1.185987107,73560.36667,1.497278447,2171951.443,1.048017468
